uri,cluster
<http://example.org/inst/Paper_251>,2
<http://example.org/inst/Paper_252>,1
<http://example.org/inst/Paper_253>,1
<http://example.org/inst/Paper_254>,1
<http://example.org/inst/Paper_255>,1
<http://example.org/inst/Paper_256>,2
<http://example.org/inst/Paper_257>,1
<http://example.org/inst/Paper_258>,2
<http://example.org/inst/Paper_259>,2
<http://example.org/inst/Paper_25>,2
<http://example.org/inst/Paper_260>,1
<http://example.org/inst/Paper_261>,1
<http://example.org/inst/Paper_262>,1
<http://example.org/inst/Paper_263>,1
<http://example.org/inst/Paper_264>,2
<http://example.org/inst/Paper_265>,1
<http://example.org/inst/Paper_266>,1
<http://example.org/inst/Paper_267>,2
<http://example.org/inst/Paper_268>,2
<http://example.org/inst/Paper_269>,1
<http://example.org/inst/Paper_26>,0
<http://example.org/inst/Paper_270>,2
<http://example.org/inst/Paper_271>,2
<http://example.org/inst/Paper_272>,2
<http://example.org/inst/Paper_273>,1
<http://example.org/inst/Paper_274>,1
<http://example.org/inst/Paper_275>,1
<http://example.org/inst/Paper_276>,1
<http://example.org/inst/Paper_277>,1
<http://example.org/inst/Paper_278>,2
<http://example.org/inst/Paper_279>,1
<http://example.org/inst/Paper_27>,0
<http://example.org/inst/Paper_280>,1
<http://example.org/inst/Paper_281>,2
<http://example.org/inst/Paper_282>,1
<http://example.org/inst/Paper_283>,1
<http://example.org/inst/Paper_284>,2
<http://example.org/inst/Paper_285>,1
<http://example.org/inst/Paper_286>,2
<http://example.org/inst/Paper_287>,0
<http://example.org/inst/Paper_288>,2
<http://example.org/inst/Paper_289>,0
<http://example.org/inst/Paper_28>,1
<http://example.org/inst/Paper_290>,0
<http://example.org/inst/Paper_291>,2
<http://example.org/inst/Paper_292>,2
<http://example.org/inst/Paper_293>,0
<http://example.org/inst/Paper_294>,2
<http://example.org/inst/Paper_295>,0
<http://example.org/inst/Paper_296>,1
<http://example.org/inst/Paper_297>,1
<http://example.org/inst/Paper_298>,1
<http://example.org/inst/Paper_299>,1
<http://example.org/inst/Paper_29>,2
<http://example.org/inst/Paper_2>,2
<http://example.org/inst/Paper_300>,2
<http://example.org/inst/Paper_301>,1
<http://example.org/inst/Paper_302>,2
<http://example.org/inst/Paper_303>,0
<http://example.org/inst/Paper_304>,2
<http://example.org/inst/Paper_305>,1
<http://example.org/inst/Paper_306>,0
<http://example.org/inst/Paper_307>,2
<http://example.org/inst/Paper_308>,2
<http://example.org/inst/Paper_309>,2
<http://example.org/inst/Paper_30>,1
<http://example.org/inst/Paper_310>,1
<http://example.org/inst/Paper_311>,2
