uri,cluster
<http://example.org/inst/Paper_762>,0
<http://example.org/inst/Paper_763>,1
<http://example.org/inst/Paper_764>,0
<http://example.org/inst/Paper_765>,0
<http://example.org/inst/Paper_766>,0
<http://example.org/inst/Paper_767>,0
<http://example.org/inst/Paper_768>,2
<http://example.org/inst/Paper_769>,1
<http://example.org/inst/Paper_76>,1
<http://example.org/inst/Paper_770>,1
<http://example.org/inst/Paper_771>,0
<http://example.org/inst/Paper_772>,1
<http://example.org/inst/Paper_773>,0
<http://example.org/inst/Paper_774>,0
<http://example.org/inst/Paper_775>,1
<http://example.org/inst/Paper_776>,0
<http://example.org/inst/Paper_777>,1
<http://example.org/inst/Paper_778>,2
<http://example.org/inst/Paper_779>,1
<http://example.org/inst/Paper_77>,2
<http://example.org/inst/Paper_780>,1
<http://example.org/inst/Paper_781>,2
<http://example.org/inst/Paper_782>,0
<http://example.org/inst/Paper_783>,1
<http://example.org/inst/Paper_784>,0
<http://example.org/inst/Paper_785>,2
<http://example.org/inst/Paper_786>,2
<http://example.org/inst/Paper_787>,0
<http://example.org/inst/Paper_788>,0
<http://example.org/inst/Paper_789>,0
<http://example.org/inst/Paper_78>,1
<http://example.org/inst/Paper_790>,1
<http://example.org/inst/Paper_791>,2
<http://example.org/inst/Paper_792>,0
<http://example.org/inst/Paper_793>,0
<http://example.org/inst/Paper_794>,2
<http://example.org/inst/Paper_795>,2
<http://example.org/inst/Paper_796>,2
<http://example.org/inst/Paper_797>,0
<http://example.org/inst/Paper_798>,0
<http://example.org/inst/Paper_799>,0
<http://example.org/inst/Paper_79>,0
<http://example.org/inst/Paper_7>,1
<http://example.org/inst/Paper_800>,0
<http://example.org/inst/Paper_801>,2
<http://example.org/inst/Paper_802>,1
<http://example.org/inst/Paper_803>,2
<http://example.org/inst/Paper_804>,2
<http://example.org/inst/Paper_805>,2
<http://example.org/inst/Paper_806>,2
<http://example.org/inst/Paper_807>,2
<http://example.org/inst/Paper_808>,1
<http://example.org/inst/Paper_809>,2
<http://example.org/inst/Paper_80>,1
<http://example.org/inst/Paper_810>,1
<http://example.org/inst/Paper_811>,1
<http://example.org/inst/Paper_812>,0
<http://example.org/inst/Paper_813>,0
<http://example.org/inst/Paper_814>,2
<http://example.org/inst/Paper_815>,2
<http://example.org/inst/Paper_816>,0
<http://example.org/inst/Paper_817>,0
<http://example.org/inst/Paper_818>,2
<http://example.org/inst/Paper_819>,1
<http://example.org/inst/Paper_81>,1
<http://example.org/inst/Paper_820>,0
<http://example.org/inst/Paper_821>,0
<http://example.org/inst/Paper_822>,0
<http://example.org/inst/Paper_823>,0
<http://example.org/inst/Paper_824>,1
<http://example.org/inst/Paper_825>,0
<http://example.org/inst/Paper_826>,2
<http://example.org/inst/Paper_827>,1
<http://example.org/inst/Paper_828>,0
<http://example.org/inst/Paper_829>,0
<http://example.org/inst/Paper_82>,1
<http://example.org/inst/Paper_830>,1
<http://example.org/inst/Paper_831>,2
<http://example.org/inst/Paper_832>,1
<http://example.org/inst/Paper_833>,1
<http://example.org/inst/Paper_834>,0
<http://example.org/inst/Paper_835>,1
<http://example.org/inst/Paper_836>,1
<http://example.org/inst/Paper_837>,2
<http://example.org/inst/Paper_838>,1
<http://example.org/inst/Paper_839>,0
<http://example.org/inst/Paper_83>,1
<http://example.org/inst/Paper_840>,1
<http://example.org/inst/Paper_841>,1
<http://example.org/inst/Paper_842>,1
<http://example.org/inst/Paper_843>,2
<http://example.org/inst/Paper_844>,2
<http://example.org/inst/Paper_845>,1
<http://example.org/inst/Paper_846>,0
<http://example.org/inst/Paper_847>,0
<http://example.org/inst/Paper_848>,0
<http://example.org/inst/Paper_849>,1
<http://example.org/inst/Paper_84>,2
<http://example.org/inst/Paper_850>,1
<http://example.org/inst/Paper_851>,0
<http://example.org/inst/Paper_852>,2
<http://example.org/inst/Paper_853>,0
<http://example.org/inst/Paper_854>,0
<http://example.org/inst/Paper_855>,0
<http://example.org/inst/Paper_856>,0
<http://example.org/inst/Paper_857>,1
<http://example.org/inst/Paper_858>,1
<http://example.org/inst/Paper_859>,0
<http://example.org/inst/Paper_85>,2
<http://example.org/inst/Paper_860>,0
<http://example.org/inst/Paper_861>,0
<http://example.org/inst/Paper_862>,1
<http://example.org/inst/Paper_863>,0
<http://example.org/inst/Paper_864>,0
<http://example.org/inst/Paper_865>,0
<http://example.org/inst/Paper_866>,2
<http://example.org/inst/Paper_867>,2
<http://example.org/inst/Paper_868>,1
<http://example.org/inst/Paper_869>,1
<http://example.org/inst/Paper_86>,1
<http://example.org/inst/Paper_870>,1
<http://example.org/inst/Paper_871>,0
<http://example.org/inst/Paper_872>,1
<http://example.org/inst/Paper_873>,1
<http://example.org/inst/Paper_874>,0
<http://example.org/inst/Paper_875>,1
<http://example.org/inst/Paper_876>,0
<http://example.org/inst/Paper_877>,2
<http://example.org/inst/Paper_878>,0
<http://example.org/inst/Paper_879>,1
<http://example.org/inst/Paper_87>,2
<http://example.org/inst/Paper_880>,0
<http://example.org/inst/Paper_881>,1
<http://example.org/inst/Paper_882>,2
<http://example.org/inst/Paper_883>,1
<http://example.org/inst/Paper_884>,0
<http://example.org/inst/Paper_885>,2
<http://example.org/inst/Paper_886>,1
<http://example.org/inst/Paper_887>,0
<http://example.org/inst/Paper_888>,1
<http://example.org/inst/Paper_889>,0
<http://example.org/inst/Paper_88>,2
<http://example.org/inst/Paper_890>,1
<http://example.org/inst/Paper_891>,0
<http://example.org/inst/Paper_892>,2
<http://example.org/inst/Paper_893>,1
<http://example.org/inst/Paper_894>,2
<http://example.org/inst/Paper_895>,0
<http://example.org/inst/Paper_896>,0
<http://example.org/inst/Paper_897>,1
<http://example.org/inst/Paper_898>,0
<http://example.org/inst/Paper_899>,0
<http://example.org/inst/Paper_89>,0
<http://example.org/inst/Paper_8>,1
<http://example.org/inst/Paper_900>,0
<http://example.org/inst/Paper_901>,0
<http://example.org/inst/Paper_902>,0
<http://example.org/inst/Paper_903>,0
<http://example.org/inst/Paper_904>,0
<http://example.org/inst/Paper_905>,1
<http://example.org/inst/Paper_906>,1
<http://example.org/inst/Paper_907>,0
<http://example.org/inst/Paper_908>,2
<http://example.org/inst/Paper_909>,0
<http://example.org/inst/Paper_90>,1
<http://example.org/inst/Paper_910>,0
<http://example.org/inst/Paper_911>,2
<http://example.org/inst/Paper_912>,2
<http://example.org/inst/Paper_913>,1
<http://example.org/inst/Paper_914>,0
<http://example.org/inst/Paper_915>,0
<http://example.org/inst/Paper_916>,2
<http://example.org/inst/Paper_917>,0
<http://example.org/inst/Paper_918>,0
<http://example.org/inst/Paper_919>,0
<http://example.org/inst/Paper_91>,2
<http://example.org/inst/Paper_920>,0
<http://example.org/inst/Paper_921>,1
<http://example.org/inst/Paper_922>,1
<http://example.org/inst/Paper_923>,0
<http://example.org/inst/Paper_924>,0
<http://example.org/inst/Paper_925>,2
<http://example.org/inst/Paper_926>,1
<http://example.org/inst/Paper_927>,2
<http://example.org/inst/Paper_928>,0
<http://example.org/inst/Paper_929>,1
<http://example.org/inst/Paper_92>,2
<http://example.org/inst/Paper_930>,0
<http://example.org/inst/Paper_931>,1
<http://example.org/inst/Paper_932>,0
<http://example.org/inst/Paper_933>,2
<http://example.org/inst/Paper_934>,1
<http://example.org/inst/Paper_935>,0
<http://example.org/inst/Paper_936>,1
<http://example.org/inst/Paper_937>,0
<http://example.org/inst/Paper_938>,2
<http://example.org/inst/Paper_939>,2
<http://example.org/inst/Paper_93>,1
<http://example.org/inst/Paper_940>,2
<http://example.org/inst/Paper_941>,2
<http://example.org/inst/Paper_942>,0
<http://example.org/inst/Paper_943>,1
<http://example.org/inst/Paper_944>,0
<http://example.org/inst/Paper_945>,0
<http://example.org/inst/Paper_946>,2
<http://example.org/inst/Paper_947>,0
<http://example.org/inst/Paper_948>,0
<http://example.org/inst/Paper_949>,0
<http://example.org/inst/Paper_94>,2
<http://example.org/inst/Paper_950>,2
<http://example.org/inst/Paper_951>,2
<http://example.org/inst/Paper_952>,0
<http://example.org/inst/Paper_953>,1
<http://example.org/inst/Paper_954>,0
<http://example.org/inst/Paper_955>,2
<http://example.org/inst/Paper_956>,1
<http://example.org/inst/Paper_957>,0
<http://example.org/inst/Paper_958>,1
<http://example.org/inst/Paper_959>,2
<http://example.org/inst/Paper_95>,2
<http://example.org/inst/Paper_960>,1
<http://example.org/inst/Paper_961>,1
<http://example.org/inst/Paper_962>,2
<http://example.org/inst/Paper_963>,1
<http://example.org/inst/Paper_964>,2
<http://example.org/inst/Paper_965>,1
<http://example.org/inst/Paper_966>,1
<http://example.org/inst/Paper_967>,2
<http://example.org/inst/Paper_968>,1
<http://example.org/inst/Paper_969>,2
<http://example.org/inst/Paper_96>,2
<http://example.org/inst/Paper_970>,2
<http://example.org/inst/Paper_971>,1
<http://example.org/inst/Paper_972>,0
<http://example.org/inst/Paper_973>,0
<http://example.org/inst/Paper_974>,2
<http://example.org/inst/Paper_975>,1
<http://example.org/inst/Paper_976>,1
<http://example.org/inst/Paper_977>,1
<http://example.org/inst/Paper_978>,0
<http://example.org/inst/Paper_979>,2
<http://example.org/inst/Paper_97>,1
<http://example.org/inst/Paper_980>,1
<http://example.org/inst/Paper_981>,1
<http://example.org/inst/Paper_982>,0
<http://example.org/inst/Paper_983>,1
<http://example.org/inst/Paper_984>,0
<http://example.org/inst/Paper_985>,2
<http://example.org/inst/Paper_986>,2
<http://example.org/inst/Paper_987>,0
<http://example.org/inst/Paper_988>,2
<http://example.org/inst/Paper_989>,0
<http://example.org/inst/Paper_98>,1
<http://example.org/inst/Paper_990>,0
<http://example.org/inst/Paper_991>,0
<http://example.org/inst/Paper_992>,1
<http://example.org/inst/Paper_993>,2
<http://example.org/inst/Paper_994>,1
<http://example.org/inst/Paper_995>,2
<http://example.org/inst/Paper_996>,1
<http://example.org/inst/Paper_997>,1
<http://example.org/inst/Paper_99>,2
<http://example.org/inst/Paper_9>,1
