Modelo,MRR,Hits@1,Hits@3,Hits@10
TransE,,0.0,0.0,0.000366121552355382
TransH,,0.0,0.000244081034903588,0.00183060776177691
RotatE,,0.0,0.000366121552355382,0.00061020258725897
ComplEx,,0.0,0.000122040517451794,0.000488162069807176
